PageID,Page Title,Page Title Encoded,Keywords
1,Áedán_mac_Gabráin,%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,"áedán, son, dál, mac, king, adomnán, battle, riata, annals, britain"
2,Åland,%C3%85land,"åland, islands, finland, finnish, swedish, n, government, archipelago, sweden, mariehamn"
3,Édouard_Manet,%C3%89douard_Manet,"manet, paris, painting, one, salon, le, paintings, luncheon, grass, bar"
4,Éire,%C3%89ire,"ireland, irish, republic, state, éire, name, de, valera, king, costello"
5,Óengus_I_of_the_Picts,%C3%93engus_I_of_the_Picts,"óengus, king, dál, son, mac, riata, nechtan, picts, andrews, talorgan"
6,€2_commemorative_coins,%E2%82%AC2_commemorative_coins,"coin, coins, mark, year, european, left, union, stars, centre, outer"
7,10th_century,10th_century,"century, lived, reigned, emperor, roman, first, otto, wikipedia, millennium, eastern"
8,11th_century,11th_century,"bc, century, millennium, first, great, battle, wikipedia, european, ages, empire"
9,12th_century,12th_century,"bc, century, first, king, millennium, england, wikipedia, european, europe, ii"
10,13th_century,13th_century,"empire, century, khan, dynasty, theologian, founder, wikipedia, millennium, european, part"
11,14th_century,14th_century,"century, c, england, poet, empire, wikipedia, millennium, statue, south, beginning"
12,15th_Marine_Expeditionary_Unit,15th_Marine_Expeditionary_Unit,"meu, marine, marines, expeditionary, force, operation, war, unit, camp, united"
13,15th_century,15th_century,"bc, war, century, empire, years, english, spain, battle, millennium, ottoman"
14,16_Cygni,16_Cygni,"cygni, b, stars, parallax, distance, v, star, system, c, au"
15,16_Cygni_Bb,16_Cygni_Bb,"cygni, mass, planet, star, orbit, discovery, bb, planets, wikipedia, extrasolar"
16,16th_century,16th_century,"bc, first, england, empire, spanish, king, english, century, portuguese, de"
17,1755_Lisbon_earthquake,1755_Lisbon_earthquake,"earthquake, lisbon, city, king, ruins, tsunami, marquis, enlarge, royal, prime"
18,17th_century,17th_century,"bc, england, english, dutch, france, french, century, de, war, first"
19,1896_Summer_Olympics,1896_Summer_Olympics,"games, event, greek, held, olympic, events, first, olympics, athens, two"
20,18th_century,18th_century,"bc, french, british, writer, great, war, english, enlarge, composer, philosopher"
21,1928_Okeechobee_Hurricane,1928_Okeechobee_Hurricane,"hurricane, storm, florida, winds, damage, puerto, rico, km, south, okeechobee"
22,1973_oil_crisis,1973_oil_crisis,"oil, price, arab, world, u, opec, embargo, united, states, prices"
23,1980_eruption_of_Mount_St._Helens,1980_eruption_of_Mount_St._Helens,"ash, eruption, km, miles, may, st, helens, feet, north, volcano"
24,1997_Pacific_hurricane_season,1997_Pacific_hurricane_season,"tropical, storm, hurricane, season, pacific, depression, september, intensity, km, h"
25,19th_century,19th_century,"bc, war, century, united, first, enlarge, american, world, empire, states"
26,1_Ceres,1_Ceres,"ceres, planet, asteroid, km, piazzi, orbit, resolution, images, taken, symbol"
27,1st_century,1st_century,"bc, century, wikipedia, first, rome, roman, calendar, jesus, christ, jerusalem"
28,1st_century_BC,1st_century_BC,"bc, roman, century, caesar, julius, wikipedia, millennium, republic, founded, traditional"
29,2-6-0,2-6-0,"built, first, locomotive, railroad, leading, truck, new, jersey, wikipedia, train"
